Kartaal(4) [["dha"],["dha"],["tin"]]
Mridanga(16) [["ge"],["-"],["-"],["na"],["te"],["te","re"],["te","re"],["na"],["khe"],["-","khe"],["na"],["dha"],["ge"],["dha"],["ge"],["dha"]]
Mridanga(8) [["dha"],["-"],["ge"],["-"],["na"],["pa"],["-"],["ge"]]
Kartaal(5) [["tin"],["tin"],["tin"]]
Teentaal(16) [["dha"],["dhin"],["dhin"],["dha"],["dha"],["dhin"],["dhin"],["dha"],["dha"],["tin"],["tin"],["dha"],["dha"],["dhin"],["dhin"],["dha"]]
kehreva(8) [["dha_t"],["ge_t"],["na_t"],["ti_t"],["na_t"],["ka_t"],["dhin_t"],["na_t"]]
Kartaal(3) [["dha"],["dha"],["dha"]]
Kartaal2(3) [["dha"],["dha"],["dha"]]
Kartaal3(3) [["dha"],["dha"],["dha"]]
Kartaal4(3) [["dha"],["dha"],["dha"]]
Kartaal5(3) [["dha"],["dha"],["dha"]]
Teentaal_t1(16) [["dha_t"],["dhin_t"],["dhin_t"],["dha_t"],["dha_t"],["dhin_t"],["dhin_t"],["dha_t"],["dha_t"],["tin_t"],["tin_t"],["ta_t"],["ta_t"],["dhin_t"],["dhin_t"],["dha_t"]]
Teentaal_t2(16) [["dha_t"],["dhin_t"],["dhin_t","dhin_t"],["dha_t"],["dha_t"],["dhin_t"],["dhin_t","dhin_t"],["dha_t"],["dha_t"],["tin_t"],["tin_t","tin_t"],["ta_t"],["ta_t"],["dhin_t"],["dhin_t","dhin_t"],["dha_t"]]
Teentaal_t3(16) [["dha_t","ge_t"],["dhin_t"],["dhin_t"],["dha_t"],["dha_t","ge_t"],["dhin_t"],["dhin_t"],["dha_t"],["dha_t","ge_t"],["tin_t"],["tin_t"],["ta_t"],["ta_t","ka_t"],["dhin_t"],["dhin_t"],["dha_t"]]
Teentaal_t4(16) [["dha_t","kda_t"],["dhin_t","na_t"],["dhin_t","dhin_t"],["dha_t"],["dha_t","kda_t"],["dhin_t","na_t"],["dhin_t","dhin_t"],["dha_t"],["dha_t","kda_t"],["tin_t","na_t"],["tin_t","tin_t"],["ta_t"],["ta_t","kda_t"],["dhin_t","na_t"],["dhin_t","dhin_t"],["dha_t"]]
dadra(6)m [["dha_m"],["dhin_m"],["na_m"],["dha_m"],["ti_m"],["ta_m"]]
dadra(6)t [["dha_t"],["dhin_t"],["na_t"],["dha_t"],["tin_t"],["na_t"]]
rupak(7) [["tin_t"],["tin_t"],["na_t"],["dhin_t"],["na_t"],["dhin_t"],["na_t"]]
rupak2(7) [["tin_t"],["tin_t"],["na_t"],["dhin_t","dhin_t"],["na_t","na_t"],["dhin_t","dhin_t"],["na_t","na_t"]]
khemta [["dhin_m"],["ta_m","dhin_m"],["ta_m"],["kat_m"],["ta_m","kat_m"],["ta_m"]]
ektaal [["dhin_t"],["dhin_t"],["dhage_t"],["tirakita_t"],["tu_t"],["na_t","na_t"],["kat_t"],["ta_t"],["dhage_t"],["tirakita_t"],["dhin_t"],["na_t","na_t"]]
deepchand [["dha_t"],["dhin_t"],["-"],["dha_t"],["dha_t"],["tin_t"],["-"],["ta_t"],["tin_t"],["-"],["dha_t"],["dha_t"],["dhin_t"],["-"]]
kehreva(8)t [["dha_t"],["ge_t"],["na_t"],["ti_t"],["na_t"],["ka_t"],["dhin_t"],["na_t"]]
bhajani(x) [["dhin_m"],["ta_m"],["dhin_m","-"],["dhin_m","ta_m"],["ti_m"],["ta_m"],["ti_m","-"],["ti_m","ta_m"]]
bhajani(y) [["-","dhin_m"],["-","ta_m"],["dhin_m","-"],["dhin_m","ta_m"],["-","ti_m"],["-","ta_m"],["ti_m","-"],["ti_m","ta_m"]]
bhajani [["dhin_m","-"],["-","ta_m"],["dhin_m"],["-","dhin_m"],["ta_m"],["ti_m"],["-","ta_m"],["ti_m"],["-","ti_m"],["ta_m"]]
