Index,Array 1,Array 2,,,
0,120,20,,,
1,120,20,,,
2,119,113,,,2.828598961
3,119,113,,,6.822660474
4,119,113,,,
5,113,107,,,
6,113,107,,,
7,115,121,,,
8,115,121,,,
9,115,113,,,
10,116,120,,,
11,116,120,,,
12,121,127,,,
13,121,127,,,
14,121,119,,,
15,121,119,,,
16,119,116,,,
17,119,116,,,
18,119,119,,,
19,119,119,,,
20,119,121,,,
21,119,121,,,
22,119,117,,,
23,119,117,,,
24,117,116,,,
25,117,116,,,
26,118,121,,,
27,118,121,,,
28,117,113,,,
29,117,113,,,
30,119,126,,,
31,119,126,,,
32,121,122,,,
33,121,122,,,
34,120,115,,,
35,120,115,,,
36,116,115,,,
37,117,119,,,
38,117,119,,,
39,120,124,,,
40,120,124,,,
41,119,116,,,
42,119,116,,,
43,120,122,,,
44,120,122,,,
45,119,116,,,
46,119,116,,,
47,118,118,,,
48,118,118,,,
49,118,120,,,
50,118,120,,,
51,119,123,,,
52,119,123,,,
53,121,122,,,
54,121,122,,,
55,120,116,,,
56,120,116,,,
57,116,116,,,
58,116,116,,,
59,116,117,,,
60,116,117,,,
61,118,126,,,
62,118,126,,,
63,116,110,,,
64,116,110,,,
65,116,117,,,
66,116,117,,,
67,117,118,,,
68,122,136,,,
69,122,136,,,
70,121,115,,,
71,121,115,,,
72,115,111,,,
73,115,111,,,
74,115,116,,,
75,115,116,,,
76,117,123,,,
77,117,123,,,
78,118,118,,,
79,118,118,,,
80,119,119,,,
81,119,119,,,
82,120,121,,,
83,120,121,,,
84,119,115,,,
85,119,115,,,
86,118,118,,,
87,118,118,,,
88,119,124,,,
89,119,124,,,
90,119,119,,,
91,119,119,,,
92,119,118,,,
93,119,118,,,
94,119,118,,,
95,119,121,,,
96,119,121,,,
97,120,121,,,
98,120,121,,,
99,120,119,,,
100,120,119,,,
101,117,119,,,
102,117,130,,,
103,120,130,,,
104,120,130,,,
105,120,119,,,
106,120,119,,,
107,120,121,,,
108,120,121,,,
109,120,119,,,
110,120,119,,,
111,117,108,,,
112,117,108,,,
113,119,126,,,
114,119,126,,,
115,119,119,,,
116,119,119,,,
117,118,115,,,
118,118,115,,,
119,119,122,,,
120,119,122,,,
121,119,122,,,
122,119,122,,,
123,119,130,,,
124,121,130,,,
125,121,130,,,
126,120,115,,,
127,120,115,,,
128,121,126,,,
129,121,126,,,
130,120,115,,,
131,120,115,,,
132,121,126,,,
133,121,126,,,
134,120,115,,,
135,120,115,,,
136,120,121,,,
137,120,121,,,
138,121,124,,,
139,121,124,,,
140,120,115,,,
141,120,115,,,
142,115,109,,,
143,115,109,,,
144,119,136,,,
145,119,136,,,
146,119,117,,,
147,119,117,,,
148,116,109,,,
149,116,109,,,
150,114,113,,,
151,118,132,,,
152,118,132,,,
153,122,124,,,
154,122,124,,,
155,119,109,,,
156,119,109,,,
157,120,123,,,
158,120,123,,,
159,120,121,,,
160,120,121,,,
161,123,123,,,
162,123,123,,,
163,121,113,,,
164,121,113,,,
165,122,124,,,
166,122,124,,,
167,121,117,,,
168,121,117,,,
169,121,121,,,
170,121,121,,,
171,117,117,,,
172,117,117,,,
173,117,119,,,
174,119,123,,,
175,119,123,,,
176,118,113,,,
177,118,113,,,
178,119,122,,,
179,119,122,,,
180,118,116,,,
181,118,116,,,
182,120,129,,,
183,120,129,,,
184,119,115,,,
185,119,115,,,
186,115,113,,,
187,115,113,,,
188,115,113,,,
189,115,113,,,
190,103,82,,,
191,103,82,,,
192,108,126,,,
193,108,126,,,
194,109,110,,,
195,109,110,,,
196,112,113,,,
197,112,113,,,
198,123,129,,,
199,123,129,,,
200,122,117,,,
201,118,118,,,
202,118,118,,,
203,119,123,,,
204,119,123,,,
205,119,117,,,
206,119,117,,,
207,120,126,,,
208,120,126,,,
209,118,110,,,
210,118,110,,,
211,119,122,,,
212,119,122,,,
213,119,117,,,
214,119,117,,,
215,117,115,,,
216,117,115,,,
217,119,127,,,
218,119,127,,,
219,118,113,,,
220,118,113,,,
221,116,115,,,
222,116,115,,,
223,119,132,,,
224,119,132,,,
225,117,107,,,
226,117,107,,,
227,118,121,,,
228,118,121,,,
229,119,119,,,
230,123,129,,,
231,123,129,,,
232,122,117,,,
233,122,117,,,
234,122,123,,,
235,122,123,,,
