Index,Array 1,Array 2,,,,,,,
0,140,27,,,,,,,
1,140,27,,,2.562142732,,,,
2,139,133,1,49,#NAME?,,,,
3,139,133,1,49,,,,,
4,134,129,36,121,,,,,
5,134,129,36,121,,,,,
6,135,138,25,4,,,,,
7,135,135,25,25,,,,,
8,135,135,25,25,,,,,
9,136,138,16,4,,,,,
10,136,138,16,4,,,,,
11,138,140,4,0,,,,,
12,139,140,1,0,,,,,
13,139,140,1,0,,,,,
14,138,132,4,64,,,,,
15,140,149,0,81,,,,,
16,140,149,0,81,,,,,
17,140,138,0,4,,,,,
18,140,138,0,4,,,,,
19,140,140,0,0,,,,,
20,138,138,4,4,,,,,
21,138,138,4,4,,,,,
22,138,140,4,0,,,,,
23,138,140,4,0,,,,,
24,138,138,4,4,,,,,
25,138,136,4,16,,,,,
26,138,136,4,16,,,,,
27,138,138,4,4,,,,,
28,138,138,4,4,,,,,
29,138,138,4,4,,,,,
30,137,136,9,16,,,,,
31,137,136,9,16,,,,,
32,137,136,9,16,,,,,
33,137,136,9,16,,,,,
34,137,136,9,16,,,,,
35,138,141,4,1,,,,,
36,138,141,4,1,,,,,
37,138,136,4,16,,,,,
38,138,136,4,16,,,,,
39,138,138,4,4,,,,,
40,139,141,1,1,,,,,
41,139,141,1,1,,,,,
42,138,136,4,16,,,,,
43,138,136,4,16,,,,,
44,138,138,4,4,,,,,
45,139,143,1,9,,,,,
46,139,143,1,9,,,,,
47,138,133,4,49,,,,,
48,138,133,4,49,,,,,
49,138,138,4,4,,,,,
50,139,143,1,9,,,,,
51,139,143,1,9,,,,,
52,141,141,1,1,,,,,
53,141,141,1,1,,,,,
54,138,135,4,25,,,,,
55,138,135,4,25,,,,,
56,138,135,4,25,,,,,
57,142,145,4,25,,,,,
58,142,145,4,25,,,,,
59,144,145,16,25,,,,,
60,142,135,4,25,,,,,
61,142,135,4,25,,,,,
62,136,135,16,25,,,,,
63,136,135,16,25,,,,,
64,137,143,9,9,,,,,
65,143,147,9,49,,,,,
66,143,147,9,49,,,,,
67,140,126,0,196,,,,,
68,140,126,0,196,,,,,
69,139,138,1,4,,,,,
70,135,133,25,49,,,,,
71,135,133,25,49,,,,,
72,137,147,9,49,,,,,
73,145,149,25,81,,,,,
74,145,149,25,81,,,,,
75,143,136,9,16,,,,,
76,143,136,9,16,,,,,
77,136,132,16,64,,,,,
78,135,135,25,25,,,,,
79,135,135,25,25,,,,,
80,138,149,4,81,,,,,
81,138,149,4,81,,,,,
82,143,145,9,25,,,,,
83,140,130,0,100,,,,,
84,140,130,0,100,,,,,
85,132,132,64,64,,,,,
86,132,132,64,64,,,,,
87,134,143,36,9,,,,,
88,138,140,4,0,,,,,
89,138,140,4,0,,,,,
90,144,147,16,49,,,,,
91,144,147,16,49,,,,,
92,141,147,1,49,,,,,
93,141,141,1,1,,,,,
94,141,141,1,1,,,,,
95,141,141,1,1,,,,,
96,141,141,1,1,,,,,
97,143,147,9,49,,,,,
98,141,133,1,49,,,,,
99,141,133,1,49,,,,,
100,135,133,25,49,,,,,
101,135,133,25,49,,,,,
102,135,136,25,16,,,,,
103,138,147,4,49,,,,,
104,138,147,4,49,,,,,
105,137,135,9,25,,,,,
106,137,135,9,25,,,,,
107,135,135,25,25,,,,,
108,137,143,9,9,,,,,
109,137,143,9,9,,,,,
110,143,145,9,25,,,,,
111,143,141,9,1,,,,,
112,143,141,9,1,,,,,
113,138,123,4,289,,,,,
114,138,123,4,289,,,,,
115,141,151,1,121,,,,,
116,141,140,1,0,,,,,
117,141,140,1,0,,,,,
118,140,138,0,4,,,,,
119,140,138,0,4,,,,,
120,141,147,1,49,,,,,
121,139,129,1,121,,,,,
122,139,129,1,121,,,,,
123,141,147,1,49,,,,,
124,141,147,1,49,,,,,
125,140,135,0,25,,,,,
126,140,140,0,0,,,,,
127,140,140,0,0,,,,,
128,140,141,0,1,,,,,
129,140,141,0,1,,,,,
130,140,140,0,0,,,,,
131,141,147,1,49,,,,,
132,141,147,1,49,,,,,
133,140,138,0,4,,,,,
134,140,138,0,4,,,,,
135,139,136,1,16,,,,,
136,136,135,16,25,,,,,
137,136,135,16,25,,,,,
138,140,155,0,225,,,,,
139,140,138,0,4,,,,,
140,140,138,0,4,,,,,
141,138,133,4,49,,,,,
142,138,133,4,49,,,,,
143,138,138,4,4,,,,,
144,138,138,4,4,,,,,
145,138,138,4,4,,,,,
146,138,140,4,0,,,,,
147,138,140,4,0,,,,,
148,137,132,9,64,,,,,
149,139,145,1,25,,,,,
150,139,145,1,25,,,,,
151,138,136,4,16,,,,,
152,138,136,4,16,,,,,
153,139,141,1,1,,,,,
154,138,133,4,49,,,,,
155,138,133,4,49,,,,,
156,139,143,1,9,,,,,
157,139,143,1,9,,,,,
158,138,136,4,16,,,,,
159,136,133,16,49,,,,,
160,136,133,16,49,,,,,
161,137,137,9,9,,,,,
162,137,137,9,9,,,,,
163,142,151,4,121,,,,,
164,144,151,16,121,,,,,
165,144,144,16,16,,,,,
166,142,133,4,49,,,,,
167,142,133,4,49,,,,,
168,139,138,1,4,,,,,
169,139,140,1,0,,,,,
170,139,140,1,0,,,,,
171,138,135,4,25,,,,,
172,138,135,4,25,,,,,
173,137,136,9,16,,,,,
174,139,145,1,25,,,,,
175,139,145,1,25,,,,,
176,138,136,4,16,,,,,
177,138,136,4,16,,,,,
178,139,143,1,9,,,,,
179,139,140,1,0,,,,,
180,139,140,1,0,,,,,
181,143,143,9,9,,,,,
182,142,138,4,4,,,,,
183,142,138,4,4,,,,,
184,137,132,9,64,,,,,
185,137,132,9,64,,,,,
186,135,135,25,25,,,,,
187,138,149,4,81,,,,,
188,138,149,4,81,,,,,
189,138,138,4,4,,,,,
190,138,138,4,4,,,,,
191,138,138,4,4,,,,,
192,131,105,81,1225,,,,,
193,131,105,81,1225,,,,,
194,132,135,64,25,,,,,
195,132,135,64,25,,,,,
196,131,129,81,121,,,,,
197,133,141,49,1,,,,,
198,133,141,49,1,,,,,
199,136,138,16,4,,,,,
200,136,138,16,4,,,,,
201,141,143,1,9,,,,,
202,139,133,1,49,,,,,
203,139,133,1,49,,,,,
204,139,140,1,0,,,,,
205,139,140,1,0,,,,,
206,139,138,1,4,,,,,
207,141,151,1,121,,,,,
208,141,151,1,121,,,,,
209,140,138,0,4,,,,,
210,140,138,0,4,,,,,
211,137,135,9,25,,,,,
212,138,140,4,0,,,,,
213,138,140,4,0,,,,,
214,137,135,9,25,,,,,
215,139,145,1,25,,,,,
216,139,145,1,25,,,,,
217,138,133,4,49,,,,,
218,138,133,4,49,,,,,
219,139,145,1,25,,,,,
220,141,141,1,1,,,,,
221,141,141,1,1,,,,,
222,140,135,0,25,,,,,
223,140,135,0,25,,,,,
224,141,147,1,49,,,,,
225,141,147,1,49,,,,,
226,137,122,9,324,,,,,
227,137,138,9,4,,,,,2.88
228,137,138,9,4,,,,,6.55
229,139,147,1,49,,,,,
230,138,136,4,16,,,,,
231,138,136,4,16,,,,,
232,139,141,1,1,,,,,
233,139,141,1,1,,,,,
234,142,145,4,25,,,,,
235,142,145,4,25,,,,,
236,142,145,4,25,,,,,
,,,8.310638298,42.97446809,,,,,
