Index,Array 1,Array 2,,
0,170,24,0,21316
1,168,161,4,81
2,162,161,64,81
3,162,161,64,81
4,163,169,49,1
5,168,171,4,1
6,168,166,4,16
7,168,166,4,16
8,170,176,0,36
9,169,164,1,36
10,169,164,1,36
11,167,166,9,16
12,171,188,1,324
13,170,166,0,16
14,170,166,0,16
15,169,169,1,1
16,167,166,9,16
17,169,176,1,36
18,169,176,1,36
19,168,164,4,36
20,169,171,1,1
21,171,171,1,1
22,171,171,1,1
23,170,164,0,36
24,167,166,9,16
25,168,171,4,1
26,168,171,4,1
27,171,174,1,16
28,170,166,0,16
29,167,166,9,16
30,167,166,9,16
31,168,174,4,16
32,170,171,0,1
33,170,171,0,1
34,170,169,0,1
35,168,164,4,36
36,168,169,4,1
37,168,169,4,1
38,169,171,1,1
39,172,174,4,16
40,170,161,0,81
41,170,161,0,81
42,169,169,1,1
43,167,166,9,16
44,167,169,9,1
45,167,169,9,1
46,168,169,4,1
47,167,164,9,36
48,167,164,9,36
49,168,174,4,16
50,173,176,9,36
51,174,174,16,16
52,174,174,16,16
53,173,169,9,1
54,167,157,9,169
55,169,179,1,81
56,169,179,1,81
57,167,161,9,81
58,167,169,9,1
59,168,169,4,1
60,168,169,4,1
61,168,169,4,1
62,168,166,4,16
63,169,174,1,16
64,169,174,1,16
65,169,169,1,1
66,169,171,1,1
67,169,171,1,1
68,168,166,4,16
69,166,164,16,36
70,167,169,9,1
71,167,169,9,1
72,169,171,1,1
73,167,161,9,81
74,167,169,9,1
75,167,169,9,1
76,169,171,1,1
77,173,176,9,36
78,171,161,1,81
79,171,161,1,81
80,174,185,16,225
81,171,159,1,121
82,171,159,1,121
83,168,166,4,16
84,169,171,1,1
85,168,164,4,36
86,168,164,4,36
87,169,174,1,16
88,168,166,4,16
89,169,174,1,16
90,169,174,1,16
91,168,164,4,36
92,169,174,1,16
93,173,174,9,16
94,173,174,9,16
95,170,157,0,169
96,169,169,1,1
97,172,185,4,225
98,172,185,4,225
99,172,171,4,1
100,171,169,1,1
101,171,169,1,1
102,167,159,9,121
103,165,164,25,36
104,168,179,4,81
105,168,179,4,81
106,168,166,4,16
107,168,169,4,1
108,168,169,4,1
109,168,169,4,1
110,171,179,1,81
111,170,164,0,36
112,164,157,36,169
113,164,157,36,169
114,165,169,25,1
115,171,171,1,1
116,171,169,1,1
117,171,169,1,1
118,169,169,1,1
119,170,174,0,16
120,170,174,0,16
121,169,166,1,16
122,169,169,1,1
123,169,171,1,1
124,169,171,1,1
125,168,166,4,16
126,168,169,4,1
127,168,169,4,1
128,168,169,4,1
129,169,171,1,1
130,168,164,4,36
131,167,166,9,16
132,167,166,9,16
133,168,174,4,16
134,168,169,4,1
135,173,174,9,16
136,173,174,9,16
137,173,171,9,1
138,170,164,0,36
139,171,176,1,36
140,171,176,1,36
141,169,159,1,121
142,171,179,1,81
143,171,179,1,81
144,170,164,0,36
145,165,164,25,36
146,166,169,16,1
147,166,169,16,1
148,169,174,1,16
149,167,159,9,121
150,167,159,9,121
151,161,159,81,121
152,164,176,36,36
153,169,171,1,1
154,169,171,1,1
155,172,172,4,4
156,173,174,9,16
157,171,164,1,36
158,171,164,1,36
159,164,161,36,81
160,165,169,25,1
161,170,176,0,36
162,170,176,0,36
163,173,174,9,16
164,172,169,4,1
165,168,164,4,36
166,168,164,4,36
167,169,171,1,1
168,172,174,4,16
169,172,174,4,16
170,169,157,1,169
171,170,176,0,36
172,169,164,1,36
173,169,164,1,36
174,169,171,1,1
175,172,179,4,81
176,171,166,1,16
177,171,166,1,16
178,167,166,9,16
179,166,166,16,16
180,168,174,4,16
181,168,174,4,16
182,174,176,16,36
183,173,169,9,1
184,168,164,4,36
185,168,164,4,36
186,170,176,0,36
187,169,164,1,36
188,170,174,0,16
189,170,174,0,16
190,170,170,0,0
191,171,171,1,1
192,171,171,1,1
193,171,171,1,1
194,171,169,1,1
195,168,164,4,36
196,168,164,4,36
197,169,171,1,1
198,167,161,9,81
199,168,171,4,1
200,168,171,4,1
201,168,166,4,16
202,172,188,4,324
203,169,157,1,169
204,169,157,1,169
205,171,179,1,81
206,170,166,0,16
207,169,169,1,1
208,169,169,1,1
209,169,169,1,1
210,167,167,9,9
211,167,167,9,9
212,165,155,25,225
213,167,176,9,36
214,175,179,25,81
215,175,179,25,81
216,174,171,16,1
217,170,161,0,81
218,173,185,9,225
219,173,185,9,225
220,169,155,1,225
221,167,166,9,16
222,168,171,4,1
223,168,171,4,1
224,171,171,1,1
225,171,171,1,1
226,171,171,1,1
227,171,171,1,1
,,,6.257777778,38.26666667
,,,2.5,6.2
