Index,Array 1,Array 2
0,212,211
1,214,221
2,224,240
3,235,240
4,238,240
5,239,240
6,240,240
7,240,240
8,239,235
9,235,230
10,237,245
11,246,256
12,246,245
13,241,226
14,234,230
15,235,240
16,242,256
17,241,235
18,242,245
19,245,245
20,240,221
21,242,250
22,240,230
23,241,245
24,247,256
25,242,221
26,237,235
27,238,240
28,241,245
29,239,230
30,241,250
31,240,235
32,249,250
33,249,250
34,244,245
35,243,240
36,236,217
37,240,256
38,239,235
39,235,230
40,238,250
41,248,250
42,244,226
43,246,256
44,240,217
45,241,245
46,239,230
47,244,262
48,252,256
49,247,226
50,229,226
51,230,235
52,239,262
53,240,240
54,240,240
55,239,235
56,234,226
57,234,235
58,247,275
59,247,275
60,241,240
61,240,240
62,237,235
63,236,235
64,238,245
65,236,230
66,241,262
67,251,256
68,248,235
69,232,209
70,231,230
71,238,268
72,243,245
73,234,198
74,245,289
75,245,245
76,245,245
77,245,245
78,245,245
79,241,226
80,234,230
81,234,235
82,237,245
83,239,240
84,238,235
85,238,240
86,241,262
87,244,245
88,240,226
89,237,235
90,220,213
91,228,262
92,239,245
93,250,256
94,246,230
95,232,226
96,231,230
97,241,282
98,240,235
99,233,221
100,217,217
101,229,275
102,266,268
103,258,226
104,246,240
105,247,250
106,244,230
107,231,221
108,230,230
109,236,262
110,239,240
111,237,230
112,242,268
113,242,240
114,240,235
115,233,230
116,234,240
117,235,235
118,234,230
119,236,245
120,244,250
121,238,213
122,240,250
123,239,235
124,246,275
125,241,221
126,231,226
127,230,230
128,236,262
129,256,256
130,255,250
131,245,221
132,242,240
133,237,235
134,239,245
135,237,230
136,241,256
137,240,235
138,238,262
139,250,256
140,246,230
141,233,230
142,231,230
143,234,245
144,235,235
145,238,240
146,253,262
147,250,240
148,251,256
149,243,209
150,243,245
151,241,3740
152,249,282
153,246,235
154,247,250
155,243,226
156,228,221
157,231,245
158,246,262
159,261,268
160,251,213
161,231,221
162,233,240
163,244,245
164,241,230
165,241,230
166,232,235
167,240,262
168,247,250
169,243,226
170,241,240
171,225,221
172,230,250
173,248,256
174,246,240
175,239,230
176,236,235
177,235,235
178,238,250
179,243,245
180,242,240
181,244,250
182,243,240
183,238,230
184,226,221
185,230,245
186,246,262
187,245,240
188,239,230
189,238,256
190,243,245
191,241,235
192,236,235
193,237,240
194,240,240
195,244,245
196,244,245
197,243,240
198,249,275
199,258,262
200,255,245
201,247,245
202,250,262
203,254,256
204,246,245
205,248,256
206,247,245
207,242,230
208,249,275
209,247,240
210,250,262
211,260,262
212,258,250
213,261,275
214,259,11218
215,256,245
216,245,250
217,242,230
218,231,226
219,236,256
220,253,256
221,284,2805
222,278,2805
223,278,2805
