Index,Array 1,Array 2,,,,
0,71,35,,,,
1,71,35,,,,
2,71,35,,,,
3,73,81,,2.608587418,49,1
4,73,81,,5.648615031,49,1
5,73,81,,,49,1
6,75,76,,,25,16
7,75,76,,,25,16
8,75,76,,,25,16
9,83,84,,,9,16
10,83,84,,,9,16
11,83,84,,,9,16
12,82,77,,,4,9
13,82,77,,,4,9
14,82,77,,,4,9
15,78,78,,,4,4
16,78,78,,,4,4
17,79,81,,,1,1
18,79,81,,,1,1
19,79,81,,,1,1
20,79,77,,,1,9
21,79,77,,,1,9
22,79,77,,,1,9
23,78,78,,,4,4
24,78,78,,,4,4
25,78,78,,,4,4
26,78,80,,,4,0
27,78,80,,,4,0
28,78,80,,,4,0
29,79,80,,,1,0
30,79,80,,,1,0
31,79,80,,,1,0
32,79,79,,,1,1
33,79,79,,,1,1
34,79,79,,,1,1
35,78,77,,,4,9
36,78,77,,,4,9
37,78,77,,,4,9
38,79,83,,,1,9
39,79,83,,,1,9
40,79,83,,,1,9
41,77,70,,,9,100
42,77,70,,,9,100
43,77,70,,,9,100
44,79,85,,,1,25
45,79,85,,,1,25
46,85,87,,,25,49
47,85,87,,,25,49
48,85,87,,,25,49
49,84,82,,,16,4
50,84,82,,,16,4
51,84,82,,,16,4
52,81,78,,,1,4
53,81,78,,,1,4
54,81,78,,,1,4
55,77,75,,,9,25
56,77,75,,,9,25
57,77,75,,,9,25
58,78,81,,,4,1
59,78,81,,,4,1
60,78,81,,,4,1
61,78,78,,,4,4
62,78,78,,,4,4
63,78,78,,,4,4
64,78,79,,,4,1
65,78,79,,,4,1
66,78,79,,,4,1
67,79,79,,,1,1
68,79,79,,,1,1
69,79,79,,,1,1
70,81,82,,,1,4
71,81,82,,,1,4
72,81,80,,,1,0
73,81,80,,,1,0
74,81,80,,,1,0
75,79,75,,,1,25
76,79,75,,,1,25
77,79,75,,,1,25
78,78,78,,,4,4
79,78,78,,,4,4
80,78,78,,,4,4
81,79,81,,,1,1
82,79,81,,,1,1
83,79,81,,,1,1
84,79,79,,,1,1
85,79,79,,,1,1
86,79,79,,,1,1
87,79,79,,,1,1
88,79,79,,,1,1
89,79,79,,,1,1
90,78,77,,,4,9
91,78,77,,,4,9
92,78,77,,,4,9
93,79,82,,,1,4
94,79,82,,,1,4
95,79,82,,,1,4
96,82,84,,,4,16
97,82,84,,,4,16
98,82,84,,,4,16
99,81,76,,,1,16
100,81,76,,,1,16
101,81,76,,,1,16
102,79,79,,,1,1
103,79,79,,,1,1
104,79,79,,,1,1
105,77,76,,,9,16
106,77,76,,,9,16
107,78,80,,,4,0
108,78,80,,,4,0
109,78,80,,,4,0
110,78,76,,,4,16
111,78,76,,,4,16
112,78,76,,,4,16
113,79,85,,,1,25
114,79,85,,,1,25
115,79,85,,,1,25
116,84,84,,,16,16
117,84,84,,,16,16
118,84,84,,,16,16
119,83,77,,,9,9
120,83,77,,,9,9
121,83,77,,,9,9
122,78,78,,,4,4
123,78,78,,,4,4
124,78,78,,,4,4
125,78,78,,,4,4
126,78,78,,,4,4
127,78,78,,,4,4
128,78,80,,,4,0
129,78,80,,,4,0
130,78,80,,,4,0
131,78,76,,,4,16
132,78,76,,,4,16
133,78,76,,,4,16
134,78,80,,,4,0
135,78,80,,,4,0
136,80,80,,,0,0
137,80,80,,,0,0
138,80,80,,,0,0
139,79,77,,,1,9
140,79,77,,,1,9
141,79,77,,,1,9
142,79,81,,,1,1
143,79,81,,,1,1
144,79,81,,,1,1
145,79,78,,,1,4
146,79,78,,,1,4
147,79,78,,,1,4
148,79,80,,,1,0
149,79,80,,,1,0
150,79,80,,,1,0
151,80,84,,,0,16
152,80,84,,,0,16
153,80,84,,,0,16
154,81,81,,,1,1
155,81,81,,,1,1
156,83,84,,,9,16
157,83,84,,,9,16
158,83,84,,,9,16
